[2026-01-23 22:14:52] core/App.php ->Controlador como archivo no encontrado para la ruta 'assets/libs/fancybox/dist/fancybox/fancybox.cssl/carousel.css' (buscado: ../app/Controllers/Assets.php): assets | uri=/assets/libs/fancybox/dist/fancybox/fancybox.cssl/carousel.css | host=proveedores.localhost | method=GET | parsed_url=assets/libs/fancybox/dist/fancybox/fancybox.cssl/carousel.css | ip=::1 | referer=http://proveedores.localhost/Administrador/HistorialFacturas | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-23 22:14:52] core/App.php ->Controlador como archivo no encontrado para la ruta 'assets/libs/fancybox/l10n/es.umd.js' (buscado: ../app/Controllers/Assets.php): assets | uri=/assets/libs/fancybox/l10n/es.umd.js | host=proveedores.localhost | method=GET | parsed_url=assets/libs/fancybox/l10n/es.umd.js | ip=::1 | referer=http://proveedores.localhost/Administrador/HistorialFacturas | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-24 19:03:46] core/App.php ->Controlador como archivo no encontrado para la ruta 'assets/libs/fancybox/dist/fancybox/fancybox.cssl/carousel.css' (buscado: ../app/Controllers/Assets.php): assets | uri=/assets/libs/fancybox/dist/fancybox/fancybox.cssl/carousel.css | host=proveedores.localhost | method=GET | parsed_url=assets/libs/fancybox/dist/fancybox/fancybox.cssl/carousel.css | ip=::1 | referer=http://proveedores.localhost/Administrador/HistorialFacturas | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-24 19:03:46] core/App.php ->Controlador como archivo no encontrado para la ruta 'assets/libs/fancybox/l10n/es.umd.js' (buscado: ../app/Controllers/Assets.php): assets | uri=/assets/libs/fancybox/l10n/es.umd.js | host=proveedores.localhost | method=GET | parsed_url=assets/libs/fancybox/l10n/es.umd.js | ip=::1 | referer=http://proveedores.localhost/Administrador/HistorialFacturas | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-24 19:12:12] core/App.php ->Controlador como archivo no encontrado para la ruta 'assets/libs/fancybox/dist/fancybox/fancybox.cssl/carousel.css' (buscado: ../app/Controllers/Assets.php): assets | uri=/assets/libs/fancybox/dist/fancybox/fancybox.cssl/carousel.css | host=proveedores.localhost | method=GET | parsed_url=assets/libs/fancybox/dist/fancybox/fancybox.cssl/carousel.css | ip=::1 | referer=http://proveedores.localhost/Administrador/HistorialFacturas | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-24 19:12:12] core/App.php ->Controlador como archivo no encontrado para la ruta 'assets/libs/fancybox/l10n/es.umd.js' (buscado: ../app/Controllers/Assets.php): assets | uri=/assets/libs/fancybox/l10n/es.umd.js | host=proveedores.localhost | method=GET | parsed_url=assets/libs/fancybox/l10n/es.umd.js | ip=::1 | referer=http://proveedores.localhost/Administrador/HistorialFacturas | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-25 00:01:38] core/App.php ->Controlador como archivo no encontrado para la ruta 'assets/libs/fancybox/dist/fancybox/fancybox.cssl/carousel.css' (buscado: ../app/Controllers/Assets.php): assets | uri=/assets/libs/fancybox/dist/fancybox/fancybox.cssl/carousel.css | host=proveedores.localhost | method=GET | parsed_url=assets/libs/fancybox/dist/fancybox/fancybox.cssl/carousel.css | ip=::1 | referer=http://proveedores.localhost/Administrador/HistorialFacturas | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-25 00:01:38] core/App.php ->Controlador como archivo no encontrado para la ruta 'assets/libs/fancybox/l10n/es.umd.js' (buscado: ../app/Controllers/Assets.php): assets | uri=/assets/libs/fancybox/l10n/es.umd.js | host=proveedores.localhost | method=GET | parsed_url=assets/libs/fancybox/l10n/es.umd.js | ip=::1 | referer=http://proveedores.localhost/Administrador/HistorialFacturas | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-25 00:01:45] core/App.php ->Controlador como archivo no encontrado para la ruta 'assets/libs/fancybox/dist/fancybox/fancybox.cssl/carousel.css' (buscado: ../app/Controllers/Assets.php): assets | uri=/assets/libs/fancybox/dist/fancybox/fancybox.cssl/carousel.css | host=proveedores.localhost | method=GET | parsed_url=assets/libs/fancybox/dist/fancybox/fancybox.cssl/carousel.css | ip=::1 | referer=http://proveedores.localhost/Administrador/HistorialFacturas | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-25 00:01:45] core/App.php ->Controlador como archivo no encontrado para la ruta 'assets/libs/fancybox/l10n/es.umd.js' (buscado: ../app/Controllers/Assets.php): assets | uri=/assets/libs/fancybox/l10n/es.umd.js | host=proveedores.localhost | method=GET | parsed_url=assets/libs/fancybox/l10n/es.umd.js | ip=::1 | referer=http://proveedores.localhost/Administrador/HistorialFacturas | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-25 18:01:02] core/App.php ->Controlador como archivo no encontrado para la ruta 'assets/libs/fancybox/dist/fancybox/fancybox.cssl/carousel.css' (buscado: ../app/Controllers/Assets.php): assets | uri=/assets/libs/fancybox/dist/fancybox/fancybox.cssl/carousel.css | host=proveedores.localhost | method=GET | parsed_url=assets/libs/fancybox/dist/fancybox/fancybox.cssl/carousel.css | ip=::1 | referer=http://proveedores.localhost/Administrador/HistorialFacturas | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-25 18:01:02] core/App.php ->Controlador como archivo no encontrado para la ruta '.well-known/appspecific/com.chrome.devtools.json' (buscado: ../app/Controllers/.well-known.php): .well-known | uri=/.well-known/appspecific/com.chrome.devtools.json | host=proveedores.localhost | method=GET | parsed_url=.well-known/appspecific/com.chrome.devtools.json | ip=::1 | referer= | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-25 18:01:02] core/App.php ->Controlador como archivo no encontrado para la ruta 'assets/extra-libs/datatables.net/js/pdfmake.min.js.map' (buscado: ../app/Controllers/Assets.php): assets | uri=/assets/extra-libs/datatables.net/js/pdfmake.min.js.map | host=proveedores.localhost | method=GET | parsed_url=assets/extra-libs/datatables.net/js/pdfmake.min.js.map | ip=::1 | referer= | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-25 21:59:07] core/App.php ->Controlador como archivo no encontrado para la ruta '.well-known/appspecific/com.chrome.devtools.json' (buscado: ../app/Controllers/.well-known.php): .well-known | uri=/.well-known/appspecific/com.chrome.devtools.json | host=proveedores.localhost | method=GET | parsed_url=.well-known/appspecific/com.chrome.devtools.json | ip=::1 | referer= | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-25 21:59:07] core/App.php ->Controlador como archivo no encontrado para la ruta 'assets/libs/fancybox/dist/fancybox/fancybox.cssl/carousel.css' (buscado: ../app/Controllers/Assets.php): assets | uri=/assets/libs/fancybox/dist/fancybox/fancybox.cssl/carousel.css | host=proveedores.localhost | method=GET | parsed_url=assets/libs/fancybox/dist/fancybox/fancybox.cssl/carousel.css | ip=::1 | referer=http://proveedores.localhost/Administrador/HistorialFacturas | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-25 21:59:07] core/App.php ->Controlador como archivo no encontrado para la ruta 'assets/libs/fancybox/l10n/es.umd.js' (buscado: ../app/Controllers/Assets.php): assets | uri=/assets/libs/fancybox/l10n/es.umd.js | host=proveedores.localhost | method=GET | parsed_url=assets/libs/fancybox/l10n/es.umd.js | ip=::1 | referer=http://proveedores.localhost/Administrador/HistorialFacturas | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-25 21:59:08] core/App.php ->Controlador como archivo no encontrado para la ruta 'assets/extra-libs/datatables.net/js/pdfmake.min.js.map' (buscado: ../app/Controllers/Assets.php): assets | uri=/assets/extra-libs/datatables.net/js/pdfmake.min.js.map | host=proveedores.localhost | method=GET | parsed_url=assets/extra-libs/datatables.net/js/pdfmake.min.js.map | ip=::1 | referer= | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-25 23:33:29] app/Globals/Controllers/FacturasNacionalesController.php -> Problemas al Validar Reglas Internas: Esta Nota de Crédito ya fue registrada previamente en el acuse: 3. Identificador: 2.
[2026-01-25 23:35:37] app/Globals/Controllers/FacturasNacionalesController.php -> Problemas al Validar Reglas Internas: Esta Nota de Crédito ya fue registrada previamente en el acuse: 3. Identificador: 2.
[2026-01-25 23:35:39] app/Globals/Controllers/FacturasNacionalesController.php -> Problemas al Validar Reglas Internas: Esta Nota de Crédito ya fue registrada previamente en el acuse: 3. Identificador: 2.
[2026-01-25 23:36:47] app/Globals/Controllers/FacturasNacionalesController.php -> Problemas al Validar Reglas Internas: Esta Nota de Crédito ya fue registrada previamente en el acuse: 2. Identificador: 3.
[2026-01-25 23:38:49] core/App.php ->Controlador como archivo no encontrado para la ruta '.well-known/appspecific/com.chrome.devtools.json' (buscado: ../app/Controllers/.well-known.php): .well-known | uri=/.well-known/appspecific/com.chrome.devtools.json | host=proveedores.localhost | method=GET | parsed_url=.well-known/appspecific/com.chrome.devtools.json | ip=::1 | referer= | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-25 23:38:49] core/App.php ->Controlador como archivo no encontrado para la ruta 'assets/libs/fancybox/dist/fancybox/fancybox.cssl/carousel.css' (buscado: ../app/Controllers/Assets.php): assets | uri=/assets/libs/fancybox/dist/fancybox/fancybox.cssl/carousel.css | host=proveedores.localhost | method=GET | parsed_url=assets/libs/fancybox/dist/fancybox/fancybox.cssl/carousel.css | ip=::1 | referer=http://proveedores.localhost/Administrador/HistorialFacturas | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-25 23:38:49] core/App.php ->Controlador como archivo no encontrado para la ruta 'assets/libs/fancybox/l10n/es.umd.js' (buscado: ../app/Controllers/Assets.php): assets | uri=/assets/libs/fancybox/l10n/es.umd.js | host=proveedores.localhost | method=GET | parsed_url=assets/libs/fancybox/l10n/es.umd.js | ip=::1 | referer=http://proveedores.localhost/Administrador/HistorialFacturas | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-25 23:38:50] core/App.php ->Controlador como archivo no encontrado para la ruta 'assets/extra-libs/datatables.net/js/pdfmake.min.js.map' (buscado: ../app/Controllers/Assets.php): assets | uri=/assets/extra-libs/datatables.net/js/pdfmake.min.js.map | host=proveedores.localhost | method=GET | parsed_url=assets/extra-libs/datatables.net/js/pdfmake.min.js.map | ip=::1 | referer= | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-25 23:39:10] core/App.php ->Controlador como archivo no encontrado para la ruta '.well-known/appspecific/com.chrome.devtools.json' (buscado: ../app/Controllers/.well-known.php): .well-known | uri=/.well-known/appspecific/com.chrome.devtools.json | host=proveedores.localhost | method=GET | parsed_url=.well-known/appspecific/com.chrome.devtools.json | ip=::1 | referer= | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-25 23:39:10] core/App.php ->Controlador como archivo no encontrado para la ruta 'assets/libs/fancybox/dist/fancybox/fancybox.cssl/carousel.css' (buscado: ../app/Controllers/Assets.php): assets | uri=/assets/libs/fancybox/dist/fancybox/fancybox.cssl/carousel.css | host=proveedores.localhost | method=GET | parsed_url=assets/libs/fancybox/dist/fancybox/fancybox.cssl/carousel.css | ip=::1 | referer=http://proveedores.localhost/Administrador/HistorialFacturas | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-25 23:39:10] core/App.php ->Controlador como archivo no encontrado para la ruta 'assets/libs/fancybox/l10n/es.umd.js' (buscado: ../app/Controllers/Assets.php): assets | uri=/assets/libs/fancybox/l10n/es.umd.js | host=proveedores.localhost | method=GET | parsed_url=assets/libs/fancybox/l10n/es.umd.js | ip=::1 | referer=http://proveedores.localhost/Administrador/HistorialFacturas | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-25 23:39:11] core/App.php ->Controlador como archivo no encontrado para la ruta 'assets/extra-libs/datatables.net/js/pdfmake.min.js.map' (buscado: ../app/Controllers/Assets.php): assets | uri=/assets/extra-libs/datatables.net/js/pdfmake.min.js.map | host=proveedores.localhost | method=GET | parsed_url=assets/extra-libs/datatables.net/js/pdfmake.min.js.map | ip=::1 | referer= | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-25 23:43:55] core/App.php ->Controlador como archivo no encontrado para la ruta '.well-known/appspecific/com.chrome.devtools.json' (buscado: ../app/Controllers/.well-known.php): .well-known | uri=/.well-known/appspecific/com.chrome.devtools.json | host=proveedores.localhost | method=GET | parsed_url=.well-known/appspecific/com.chrome.devtools.json | ip=::1 | referer= | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-25 23:43:55] core/App.php ->Controlador como archivo no encontrado para la ruta 'assets/extra-libs/datatables.net/js/pdfmake.min.js.map' (buscado: ../app/Controllers/Assets.php): assets | uri=/assets/extra-libs/datatables.net/js/pdfmake.min.js.map | host=proveedores.localhost | method=GET | parsed_url=assets/extra-libs/datatables.net/js/pdfmake.min.js.map | ip=::1 | referer= | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-25 23:44:37] core/App.php ->Controlador como archivo no encontrado para la ruta 'assets/libs/fancybox/l10n/es.umd.js' (buscado: ../app/Controllers/Assets.php): assets | uri=/assets/libs/fancybox/l10n/es.umd.js | host=proveedores.localhost | method=GET | parsed_url=assets/libs/fancybox/l10n/es.umd.js | ip=::1 | referer=http://proveedores.localhost/Administrador/PendientesPorPagar | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-26 00:50:05] core/App.php ->Controlador como archivo no encontrado para la ruta '.well-known/appspecific/com.chrome.devtools.json' (buscado: ../app/Controllers/.well-known.php): .well-known | uri=/.well-known/appspecific/com.chrome.devtools.json | host=proveedores.localhost | method=GET | parsed_url=.well-known/appspecific/com.chrome.devtools.json | ip=::1 | referer= | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-26 00:50:06] core/App.php ->Controlador como archivo no encontrado para la ruta 'assets/extra-libs/datatables.net/js/pdfmake.min.js.map' (buscado: ../app/Controllers/Assets.php): assets | uri=/assets/extra-libs/datatables.net/js/pdfmake.min.js.map | host=proveedores.localhost | method=GET | parsed_url=assets/extra-libs/datatables.net/js/pdfmake.min.js.map | ip=::1 | referer= | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-26 01:14:32] core/App.php ->Controlador como archivo no encontrado para la ruta '.well-known/appspecific/com.chrome.devtools.json' (buscado: ../app/Controllers/.well-known.php): .well-known | uri=/.well-known/appspecific/com.chrome.devtools.json | host=proveedores.localhost | method=GET | parsed_url=.well-known/appspecific/com.chrome.devtools.json | ip=::1 | referer= | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-26 01:14:33] core/App.php ->Controlador como archivo no encontrado para la ruta 'assets/extra-libs/datatables.net/js/pdfmake.min.js.map' (buscado: ../app/Controllers/Assets.php): assets | uri=/assets/extra-libs/datatables.net/js/pdfmake.min.js.map | host=proveedores.localhost | method=GET | parsed_url=assets/extra-libs/datatables.net/js/pdfmake.min.js.map | ip=::1 | referer= | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-26 14:58:38] core/App.php ->Controlador como archivo no encontrado para la ruta '.well-known/appspecific/com.chrome.devtools.json' (buscado: ../app/Controllers/.well-known.php): .well-known | uri=/.well-known/appspecific/com.chrome.devtools.json | host=proveedores.localhost | method=GET | parsed_url=.well-known/appspecific/com.chrome.devtools.json | ip=::1 | referer= | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-26 14:58:39] core/App.php ->Controlador como archivo no encontrado para la ruta 'assets/extra-libs/datatables.net/js/pdfmake.min.js.map' (buscado: ../app/Controllers/Assets.php): assets | uri=/assets/extra-libs/datatables.net/js/pdfmake.min.js.map | host=proveedores.localhost | method=GET | parsed_url=assets/extra-libs/datatables.net/js/pdfmake.min.js.map | ip=::1 | referer= | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-26 14:59:29] core/App.php ->Controlador como archivo no encontrado para la ruta '.well-known/appspecific/com.chrome.devtools.json' (buscado: ../app/Controllers/.well-known.php): .well-known | uri=/.well-known/appspecific/com.chrome.devtools.json | host=proveedores.localhost | method=GET | parsed_url=.well-known/appspecific/com.chrome.devtools.json | ip=::1 | referer= | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-26 14:59:30] core/App.php ->Controlador como archivo no encontrado para la ruta 'assets/extra-libs/datatables.net/js/pdfmake.min.js.map' (buscado: ../app/Controllers/Assets.php): assets | uri=/assets/extra-libs/datatables.net/js/pdfmake.min.js.map | host=proveedores.localhost | method=GET | parsed_url=assets/extra-libs/datatables.net/js/pdfmake.min.js.map | ip=::1 | referer= | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-26 15:05:58] core/App.php ->Controlador como archivo no encontrado para la ruta '.well-known/appspecific/com.chrome.devtools.json' (buscado: ../app/Controllers/.well-known.php): .well-known | uri=/.well-known/appspecific/com.chrome.devtools.json | host=proveedores.localhost | method=GET | parsed_url=.well-known/appspecific/com.chrome.devtools.json | ip=::1 | referer= | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-01-26 15:05:59] core/App.php ->Controlador como archivo no encontrado para la ruta 'assets/extra-libs/datatables.net/js/pdfmake.min.js.map' (buscado: ../app/Controllers/Assets.php): assets | uri=/assets/extra-libs/datatables.net/js/pdfmake.min.js.map | host=proveedores.localhost | method=GET | parsed_url=assets/extra-libs/datatables.net/js/pdfmake.min.js.map | ip=::1 | referer= | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
